ISIN;Wertpapier;Kurswert_Asset_EUR;Sektor;Gewicht_im_Asset_Prozent
IE000J80JTL1;Nasdaq Clean Edge Smart Grid Infrastructure USD (Acc);205.32;Unbekannt / Keine Daten;100.0
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;realestate;1.86
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;consumer_cyclical;9.28
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;basic_materials;3.29
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;consumer_defensive;5.2
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;technology;28.31
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;communication_services;9.25
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;financial_services;15.73
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;utilities;2.69
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;industrials;11.39
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;energy;4.22
IE00BJ0KDQ92;MSCI World USD (Acc);133.97;healthcare;8.79
IE00B4NCWG09;Physical Silver;98.71;Unbekannt / Keine Daten;100.0
CNE100000296;BYD Co. Ltd.;234.7;Consumer Cyclical;100.0
IE00BM8R0J59;NASDAQ 100 Covered Call USD (Dist);142.52;Unbekannt / Keine Daten;100.0
IE00BYPLS672;Cyber Security USD (Acc);403.09;realestate;0.0
IE00BYPLS672;Cyber Security USD (Acc);403.09;consumer_cyclical;0.0
IE00BYPLS672;Cyber Security USD (Acc);403.09;basic_materials;0.0
IE00BYPLS672;Cyber Security USD (Acc);403.09;consumer_defensive;0.0
IE00BYPLS672;Cyber Security USD (Acc);403.09;technology;97.37
IE00BYPLS672;Cyber Security USD (Acc);403.09;communication_services;2.25
IE00BYPLS672;Cyber Security USD (Acc);403.09;financial_services;0.0
IE00BYPLS672;Cyber Security USD (Acc);403.09;utilities;0.0
IE00BYPLS672;Cyber Security USD (Acc);403.09;industrials;0.38
IE00BYPLS672;Cyber Security USD (Acc);403.09;energy;0.0
IE00BYPLS672;Cyber Security USD (Acc);403.09;healthcare;0.0
AU000000PNR8;Pantoro Gold Ltd.;92.16;Basic Materials;100.0
DE0005557508;Deutsche Telekom AG;471.17;Communication Services;100.0
US92686J1060;Viking Therapeutics Inc.;203.95;Healthcare;100.0
US67066G1040;NVIDIA Corp.;533.28;Technology;100.0
KYG9830T1067;Xiaomi Corp.;154.46;Technology;100.0
IE00BKM4GZ66;Core MSCI EM IMI USD (Acc);3318.03;realestate;1.54
IE00BKM4GZ66;Core MSCI EM IMI USD (Acc);3318.03;consumer_cyclical;8.55
IE00BKM4GZ66;Core MSCI EM IMI USD (Acc);3318.03;basic_materials;6.24
IE00BKM4GZ66;Core MSCI EM IMI USD (Acc);3318.03;consumer_defensive;2.82
IE00BKM4GZ66;Core MSCI EM IMI USD (Acc);3318.03;technology;42.1
IE00BKM4GZ66;Core MSCI EM IMI USD (Acc);3318.03;communication_services;5.62
